source,page_id,page_number,page_content,continuation
101-300.json,1ccd7171-1cf2-4bfb-8397-64fac94189d0,105,"AIR SWITCH INSPECTION & TEST REPORT Customer: GE Healthcare Date: 8/27/16 Address: 4855 W. Electric Avenue - Milwaukee, WI 53219 Work Order: 12937 Owner: Same as above Temperature: 22 °C Address: Humidity: 66 % Location: Substation WL Identification: Substation WL Primary Switch Nameplate Information - No Nameplate Manufacturer: General Electric Voltage Rating: N/A Ampere Rating: N/A Serial Number: N/A Catalog Number: N/A Model Number: N/A Fault Withstand Rating (kA): N/A Interrupting Rating (Amps): N/A Asymmetrical Rating (kA): N/A Contact Type: N/A Visual Inspection Main Contacts: Normal Operating Mechanism: Required Lubrication Arcing Contacts: Normal Switch Grounded: Yes Contact Sequence: Normal System Voltage: 4160 Cubicle & Insulating Members: Cleaned Panel Lights: N/A Damaged Insulators: None Heaters: N/A Electrical Connections: Tight Shunt Trip Voltage: N/A Fuse Type: EJO-1 Fuse Size: 100E Spare Fuses Present: Yes Fuse Refill Number: 9F62DCB100 Grounding Provisions: No Operational Tests Manual Open: OK Fuse Cutout Operation: OK Manual Close: OK Key Interlock Operation: OK Electrically Open: N/A Door Interlock Operation: OK Electrically Close: N/A Locking Mechanism: OK Snuffer Operation: N/A Auxiliary Devices: N/A Arcing Contact Operation: OK Shunt Trip: N/A Test Data Pole #1 Pole #2 Pole #3 Resistance in Ohms at 5 kV DC (Contacts Closed): 1.3 G 1.3 G 1.3 G Resistance in Ohms at 5 kV DC (Contacts Open): 9.7 G 9.0 G 10.8 G As Found: 40 40 40 Contact Resistance in Micro-Ohms As Left: 40 40 40 As Found: 37 34 31 Top Fuse Clip Resistance in Micro-Ohms As Left: 37 34 31 As Found: 39 46 39 Bottom Fuse Clip Resistance in Micro-Ohms As Left: 39 46 39 As Found: 4783 4821 4802 Fuse Resistance in Micro-Ohms As Left: 4783 4821 4802 Tested By: Billy Schanen Test Equipment #: 108, 204 Comments: The door interlock is broken; this should be repaired. ELECTRICAL W129N10818 Washington Drive Germantown, WI 53022 00000000 NERGY XXXXXXXX Phone #(262)255-5222 Fax #(262) 242-2360 NETA EXPERTS. NO - 89 -",0
1-100.json,9e7fae96-c31c-43d8-a4b1-b8597eac9151,13,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line A to Sub 1 Feed Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 38 39 37 Resistance in Micro-Ohms As Left: 38 39 37 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 45.6 45.6 45.6 Equal to 6000 Amps As Left: 45.6 45.6 45.6 Manufacturers Curve 40 to 60 Seconds Short Time Elements Short Time Delay in Seconds at 150 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Ground Fault Elements Ground Fault Delay in Seconds at 150 % Pick Up As Found: 0.75 0.75 0.75 Equal to 1050 Amps As Left: 0.75 0.75 0.75 Manufacturers Curve 0.70 to 1.25 Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: Manufacturers Curve N/A to N/A Amperes As Left: Tested By: Gregg Brzezinski & William Kiefert Test Equipment #: 058, 204 Comments: The circuit breaker is acceptable for operation. ELECTRICAL W129N10818 Washington Drive Germantown, WI 53022 XXXXXX ENERGY IIIIII Phone #(262) 255-5222 Fax #(262) 242-2360 NETA AXPERTS,INC 12 -",1
1-100.json,0fdf1756-455a-4da6-8345-59dd957a26f6,85,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line A to Sub 2 Feed Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 31 29 30 Resistance in Micro-Ohms As Left: 31 29 30 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 45.6 45.6 45.6 Equal to 6000 Amps As Left: 45.6 45.6 45.6 Manufacturers Curve 40 to 60 Seconds Short Time Elements Short Time Delay in Seconds at 150 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Ground Fault Elements Ground Fault Delay in Seconds at 150 % Pick Up As Found: 0.88 0.88 0.88 Equal to 1050 Amps As Left: 0.88 0.88 0.88 Manufacturers Curve 0.75 to 1.25 Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: Manufacturers Curve to Amperes As Left: Tested By: Gregg Brzezinski & Ken Blaeske Test Equipment #: 058, 200 Comments: The circuit breaker is acceptable for operation. ELECTRICAL W129N10818 Washington Drive Germantown, WI 53022 ENERGY 0000000 Phone #(262) 255-5222 Fax #(262) 242-2360 NETA EXPERTS,INC 38-",1
1-100.json,4b6dbd01-0835-420a-a97d-dd4343e4c05d,89,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line A to Substation 3 Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 31 34 31 Resistance in Micro-Ohms As Left: 31 34 31 Tested By: Gregg Brzezinski Test Equipment #: 200 Comments: The trip unit does not have test interface for secondary injection testing; the circuit breaker is acceptable for operation. LECTRICAL W129N10818 Washington Drive Germantown, WI 53022 XXXXXXXX NERGY Phone #(262) 255-5222 Fax #(262) 242-2360 NETA EXPERTS.INC -2- -",1
1-100.json,ede5e26a-fb9d-4c8b-8c2f-17aa29da4ef7,97,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line A to Substation 3 Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 26 24 29 Resistance in Micro-Ohms As Left: 26 24 29 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 11.4 11.4 11.4 Equal to 3600 Amps As Left: 11.4 11.4 11.4 Manufacturers Curve 9 to 14 Seconds Short Time Elements Short Time Delay in Seconds at 110 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Ground Fault Elements Ground Fault Delay in Seconds at % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: Manufacturers Curve to Amperes As Left: Tested By: Gregg Brzezinski Test Equipment #: 200, 516 Comments: The circuit breaker is acceptable for operation. LECTRICAL W129N10818 Washington Drive Germantown, WI 53022 XXXXXXXX ENERGY Phone #(262) 255-5222 Fax #(262)242-2360 WXXXXXX NETA EXPERTS. INC -10-",1
1-100.json,14f1553b-0dab-442d-bf6e-4da210f9aa86,15,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line B to Sub 1 Feed Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 28 23 29 Resistance in Micro-Ohms As Left: 28 23 29 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 51 51 51 Equal to 6000 Amps As Left: 51 51 51 Manufacturers Curve 40 to 60 Seconds Short Time Elements Short Time Delay in Seconds at 150 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Ground Fault Elements Ground Fault Delay in Seconds at 150 % Pick Up As Found: 0.75 0.75 0.75 Equal to 1050 Amps As Left: 0.75 0.75 0.75 Manufacturers Curve 0.70 to 1.25 Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: Manufacturers Curve N/A to N/A Amperes As Left: Tested By: Gregg Brzezinski & William Kiefert Test Equipment #: 058, 204 Comments: The circuit breaker is acceptable for operation. LECTRICAL W129N10818 Washington Drive Germantown, WI 53022 ENERGY Phone #(262) 255-5222 Fax #(262) 242-2360 NETA EXPERTS. INC. -14-",1
1-100.json,593e4c35-335f-4abf-8088-55a929cb1c7f,87,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line B to Sub 2 Feed Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 31 33 31 Resistance in Micro-Ohms As Left: 31 33 31 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 45.6 45.6 45.6 Equal to 6000 Amps As Left: 45.6 45.6 45.6 Manufacturers Curve 40 to 60 Seconds Short Time Elements Short Time Delay in Seconds at 150 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Ground Fault Elements Ground Fault Delay in Seconds at 150 % Pick Up As Found: 0.75 0.75 0.75 Equal to 1050 Amps As Left: 0.75 0.75 0.75 Manufacturers Curve 0.70 to 1.25 Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: Manufacturers Curve to Amperes As Left: Tested By: Gregg Brzezinski & Ken Blaeske Test Equipment #: 058, 200 Comments: The circuit breaker is acceptable for operation. ELECTRICAL W129N10818 Washington Drive Germantown, WI 53022 ENERGY 00000000 Phone #(262) 255-5222 Fax #(262) 242-2360 NETA EXPERTS,INC 40",1
1-100.json,9330258d-343c-4448-b4c8-6cfb0f0a5737,91,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Line B to Substation 3 Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: at 1 kV DC with Contacts Closed As Left: Insulation Resistance Across Pole in Ohms As Found: at 1 kV DC with Contacts Opened As Left: Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 26 28 26 Resistance in Micro-Ohms As Left: 26 28 26 Tested By: Gregg Brzezinski Test Equipment #: 200 Comments: The trip unit does not have test interface for secondary injection testing; the circuit breaker is acceptable for operation. LECTRICAL W129N10818 Washington Drive Germantown, WI 53022 XXXXXXXX NERGY Phone #(262) 255-5222 Fax #(262) 242-2360 WXXXXXX NETA EXPERTS. -4- -",1
101-300.json,95213a85-1088-42b3-acbf-6fbf55b1df19,147,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Spare #3 Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: 356 G 360 G 316 G at 1 kV DC with Contacts Closed As Left: 356 G 360 G 316 G Insulation Resistance Across Pole in Ohms As Found: >1.02 T 915 G >1.02 T at 1 kV DC with Contacts Opened As Left: >1.02 T 915 G >1.02 T Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 18 19 17 Resistance in Micro-Ohms As Left: 18 19 17 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 23.3 22.6 22.8 Equal to 4800 Amps As Left: 23.3 22.6 22.8 Manufacturers Curve 18 to 32 Seconds Short Time Elements Short Time Delay in Seconds at 150 % Pick Up As Found: 1.8 1.8 1.8 Equal to 4800 Amps As Left: 1.8 1.8 1.8 Manufacturers Curve 1.4 to 2.2 Seconds Ground Fault Elements Ground Fault Delay in Seconds at 150 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: 4992 5028 5050 Manufacturers Curve 4032 to 5520 Amperes As Left: 4992 5028 5050 Tested By: Scott Steinbach & Chuck Knudson Test Equipment #: 106, 210, 510 Comments: The breaker is missing the line side bus cover plate. ELECTRICAL W129N10818 Washington Drive Germantown, WI 53022 XXXXXXX NERGY Phone #(262) 255-5222 Fax #(262) 242-2360 NETA EXPERTS, 18-",1
750-999.json,36a71dd4-7c49-4867-8257-61f8df71f0a5,51,"INSULATED CASE CIRCUIT BREAKER INSPECTION AND TEST REPORT (CONT.) Identification: Spare #3 Insulation Resistance Tests Pole #1 Pole #2 Pole #3 Insulation Resistance Pole to Pole in Ohms As Found: 537 G 505 G 690 G at 1 kV DC with Contacts Closed As Left: 537 G 505 G 690 G Insulation Resistance Across Pole in Ohms As Found: >1.02 T 945 G >1.02 T at 1 kV DC with Contacts Opened As Left: >1.02 T 945 G >1.02 T Contact Resistance Tests Pole #1 Pole #2 Pole #3 As Found: 27 30 32 Resistance in Micro-Ohms As Left: 27 30 32 Trip Tests Long Time Elements Pole #1 Pole #2 Pole #3 Long Time Delay in Seconds at 300 % Pick Up As Found: 22.7 22.6 21.7 Equal to 4800 Amps As Left: 22.7 22.6 21.7 Manufacturers Curve 18 to 32 Seconds Short Time Elements Short Time Delay in Seconds at 150 % Pick Up As Found: 1.8 1.8 1.8 Equal to 4800 Amps As Left: 1.8 1.8 1.8 Manufacturers Curve 1.4 to 2.5 Seconds Ground Fault Elements Ground Fault Delay in Seconds at 150 % Pick Up As Found: Equal to Amps As Left: Manufacturers Curve to Seconds Instantaneous Elements Instantaneous Pick Up in Amperes As Found: 5207 5141 5117 Manufacturers Curve 4032 to 5520 Amperes As Left: 5207 5141 5117 Tested By: Ken Blaeske & Steve Rewolinski Test Equipment #: 112, 207, 509 Comments: The breaker is missing the line side bus cover plate. ELECTRICAL W129N10818 Washington Drive Germantown, WI 53022 ENERGY NETA Phone #(262)255-5222 Fax #(262)242-2360 EXPERTS -18-",1
